,precision,recall,f1-score,support
corn_blight,0.8979591836734694,0.88,0.8888888888888888,100.0
corn_common_rust,0.9174311926605505,1.0,0.9569377990430622,100.0
corn_gray_spot,0.9565217391304348,0.88,0.9166666666666666,100.0
corn_healthy,0.9900990099009901,1.0,0.9950248756218906,100.0
accuracy,0.94,0.94,0.94,0.94
macro avg,0.9405027813413611,0.94,0.939379557555127,400.0
weighted avg,0.9405027813413612,0.94,0.939379557555127,400.0
